source_id,source_type,relationship_type,target_id,target_type,level,notes
S_195,Symptom,INDICATES,D_48,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_48,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_49,Diagnosis,Chief Sign,
S_186,Symptom,INDICATES,D_49,Diagnosis,Level 1,
S_195,Symptom,INDICATES,D_49,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_49,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_50,Diagnosis,Chief Sign,
S_186,Symptom,INDICATES,D_50,Diagnosis,Level 1,
S_195,Symptom,INDICATES,D_50,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_50,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_51,Diagnosis,Chief Sign,
S_186,Symptom,INDICATES,D_51,Diagnosis,Level 1,
S_207,Symptom,INDICATES,D_51,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_51,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_52,Diagnosis,Chief Sign,
S_186,Symptom,INDICATES,D_52,Diagnosis,Level 1,
S_207,Symptom,INDICATES,D_52,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_52,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_53,Diagnosis,Chief Sign,
S_186,Symptom,INDICATES,D_53,Diagnosis,Level 1,
S_207,Symptom,INDICATES,D_53,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_53,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_54,Diagnosis,Chief Sign,
S_186,Symptom,INDICATES,D_54,Diagnosis,Level 1,
S_207,Symptom,INDICATES,D_54,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_54,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_55,Diagnosis,Chief Sign,
S_222,Symptom,INDICATES,D_55,Diagnosis,Level 1,
S_223,Symptom,INDICATES,D_55,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_55,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_56,Diagnosis,Chief Sign,
S_222,Symptom,INDICATES,D_56,Diagnosis,Level 1,
S_223,Symptom,INDICATES,D_56,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_56,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_57,Diagnosis,Chief Sign,
S_222,Symptom,INDICATES,D_57,Diagnosis,Level 1,
S_223,Symptom,INDICATES,D_57,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_57,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_58,Diagnosis,Chief Sign,
S_222,Symptom,INDICATES,D_58,Diagnosis,Level 1,
S_223,Symptom,INDICATES,D_58,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_58,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_59,Diagnosis,Chief Sign,
S_222,Symptom,INDICATES,D_59,Diagnosis,Level 1,
S_223,Symptom,INDICATES,D_59,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_59,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_60,Diagnosis,Chief Sign,
S_222,Symptom,INDICATES,D_60,Diagnosis,Level 1,
S_223,Symptom,INDICATES,D_60,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_60,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_61,Diagnosis,Chief Sign,
S_222,Symptom,INDICATES,D_61,Diagnosis,Level 1,
S_247,Symptom,INDICATES,D_61,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_61,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_62,Diagnosis,Chief Sign,
S_222,Symptom,INDICATES,D_62,Diagnosis,Level 1,
S_247,Symptom,INDICATES,D_62,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_62,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_63,Diagnosis,Chief Sign,
S_222,Symptom,INDICATES,D_63,Diagnosis,Level 1,
S_247,Symptom,INDICATES,D_63,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_63,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_64,Diagnosis,Chief Sign,
S_222,Symptom,INDICATES,D_64,Diagnosis,Level 1,
S_259,Symptom,INDICATES,D_64,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_64,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_65,Diagnosis,Chief Sign,
S_222,Symptom,INDICATES,D_65,Diagnosis,Level 1,
S_259,Symptom,INDICATES,D_65,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_65,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_66,Diagnosis,Chief Sign,
S_222,Symptom,INDICATES,D_66,Diagnosis,Level 1,
S_259,Symptom,INDICATES,D_66,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_66,Diagnosis,Level 3,
S_157,Symptom,INDICATES,D_67,Diagnosis,Chief Sign,
S_222,Symptom,INDICATES,D_67,Diagnosis,Level 1,
S_259,Symptom,INDICATES,D_67,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_67,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_68,Diagnosis,Chief Sign,
S_274,Symptom,INDICATES,D_68,Diagnosis,Level 1,"onset between age 20 and 50, positive family history, no features of secondary hypertension"
S_3,Symptom,INDICATES,D_68,Diagnosis,Level 2,
S_273,Symptom,INDICATES,D_69,Diagnosis,Chief Sign,
S_274,Symptom,INDICATES,D_69,Diagnosis,Level 1,"onset between age 20 and 50, positive family history, no features of secondary hypertension"
S_3,Symptom,INDICATES,D_69,Diagnosis,Level 2,
S_273,Symptom,INDICATES,D_70,Diagnosis,Chief Sign,
S_274,Symptom,INDICATES,D_70,Diagnosis,Level 1,"onset between age 20 and 50, positive family history, no features of secondary hypertension"
S_3,Symptom,INDICATES,D_70,Diagnosis,Level 2,
S_273,Symptom,INDICATES,D_71,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_71,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_284,Symptom,INDICATES,D_71,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_71,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_72,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_72,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_284,Symptom,INDICATES,D_72,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_72,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_36,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_36,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_284,Symptom,INDICATES,D_36,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_36,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_74,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_74,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_284,Symptom,INDICATES,D_74,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_74,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_75,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_75,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_284,Symptom,INDICATES,D_75,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_75,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_76,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_76,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_304,Symptom,INDICATES,D_76,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_76,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_77,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_77,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_304,Symptom,INDICATES,D_77,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_77,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_78,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_78,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_312,Symptom,INDICATES,D_78,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_78,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_79,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_79,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_312,Symptom,INDICATES,D_79,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_79,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_80,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_80,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_320,Symptom,INDICATES,D_80,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_80,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_81,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_81,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_320,Symptom,INDICATES,D_81,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_81,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_82,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_82,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_320,Symptom,INDICATES,D_82,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_82,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_83,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_83,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_320,Symptom,INDICATES,D_83,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_83,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_84,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_84,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_320,Symptom,INDICATES,D_84,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_84,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_85,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_85,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_320,Symptom,INDICATES,D_85,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_85,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_28,Diagnosis,Chief Sign,
S_283,Symptom,INDICATES,D_28,Diagnosis,Level 1,"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension"
S_320,Symptom,INDICATES,D_28,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_28,Diagnosis,Level 3,
S_273,Symptom,INDICATES,D_87,Diagnosis,Chief Sign,
S_347,Symptom,INDICATES,D_87,Diagnosis,Level 1,"repeatedly normal blood pressure when taken at home, work or when using an ambulatory monitor"
S_3,Symptom,INDICATES,D_87,Diagnosis,Level 2,
S_273,Symptom,INDICATES,D_88,Diagnosis,Chief Sign,
S_347,Symptom,INDICATES,D_88,Diagnosis,Level 1,"repeatedly normal blood pressure when taken at home, work or when using an ambulatory monitor"
S_3,Symptom,INDICATES,D_88,Diagnosis,Level 2,
S_352,Symptom,INDICATES,D_89,Diagnosis,Chief Sign,"dbp>=90mmhg, based on two measurements"
S_353,Symptom,INDICATES,D_89,Diagnosis,Level 1,before pregnancy or < 20 weeks gestational age
S_354,Symptom,INDICATES,D_89,Diagnosis,Level 2,
S_355,Symptom,INDICATES,D_89,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_89,Diagnosis,Level 4,
S_352,Symptom,INDICATES,D_90,Diagnosis,Chief Sign,"dbp>=90mmhg, based on two measurements"
S_353,Symptom,INDICATES,D_90,Diagnosis,Level 1,before pregnancy or < 20 weeks gestational age
S_354,Symptom,INDICATES,D_90,Diagnosis,Level 2,
S_355,Symptom,INDICATES,D_90,Diagnosis,Level 3,
S_3,Symptom,INDICATES,D_90,Diagnosis,Level 4,
S_352,Symptom,INDICATES,D_91,Diagnosis,Chief Sign,"dbp>=90mmhg, based on two measurements"
S_353,Symptom,INDICATES,D_91,Diagnosis,Level 1,before pregnancy or < 20 weeks gestational age
S_364,Symptom,INDICATES,D_91,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_91,Diagnosis,Level 3,
S_352,Symptom,INDICATES,D_92,Diagnosis,Chief Sign,"dbp>=90mmhg, based on two measurements"
S_367,Symptom,INDICATES,D_92,Diagnosis,Level 1,"previously normotensive, >20 weeks gestational age"
S_354,Symptom,INDICATES,D_92,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_92,Diagnosis,Level 3,
S_352,Symptom,INDICATES,D_93,Diagnosis,Chief Sign,"dbp>=90mmhg, based on two measurements"
S_367,Symptom,INDICATES,D_93,Diagnosis,Level 1,"previously normotensive, >20 weeks gestational age"
S_364,Symptom,INDICATES,D_93,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_93,Diagnosis,Level 3,
S_352,Symptom,INDICATES,D_94,Diagnosis,Chief Sign,"dbp>=90mmhg, based on two measurements"
S_367,Symptom,INDICATES,D_94,Diagnosis,Level 1,"previously normotensive, >20 weeks gestational age"
S_376,Symptom,INDICATES,D_94,Diagnosis,Level 2,
S_3,Symptom,INDICATES,D_94,Diagnosis,Level 3,
S_378,Symptom,INDICATES,D_95,Diagnosis,Chief Sign,ejection fraction=sv/edv=(edv-esv)/edv
S_379,Symptom,INDICATES,D_95,Diagnosis,Level 1,
S_3,Symptom,INDICATES,D_95,Diagnosis,Level 2,
S_378,Symptom,INDICATES,D_96,Diagnosis,Chief Sign,ejection fraction=sv/edv=(edv-esv)/edv
S_379,Symptom,INDICATES,D_96,Diagnosis,Level 1,
S_3,Symptom,INDICATES,D_96,Diagnosis,Level 2,
S_378,Symptom,INDICATES,D_39,Diagnosis,Chief Sign,ejection fraction=sv/edv=(edv-esv)/edv
