id,name,type,notes,general_notes,life_threatening,definitions
D_111,right_ventricle_infarction,Diagnosis,,all left-sided heart failure can also lead to right-sided heart failure (the most common cause of right heart failure is left heart failure),,
D_113,pulmonary_stenosis,Diagnosis,,all left-sided heart failure can also lead to right-sided heart failure (the most common cause of right heart failure is left heart failure),,
D_114,tricuspid_regurgitation,Diagnosis,,all left-sided heart failure can also lead to right-sided heart failure (the most common cause of right heart failure is left heart failure),,
D_115,constrictive_pericarditis,Diagnosis,,all left-sided heart failure can also lead to right-sided heart failure (the most common cause of right heart failure is left heart failure),,
D_116,pericardial_tamponade,Diagnosis,,all left-sided heart failure can also lead to right-sided heart failure (the most common cause of right heart failure is left heart failure),,
D_117,chronic_obstructive_pulmonary_disease,Diagnosis,,all left-sided heart failure can also lead to right-sided heart failure (the most common cause of right heart failure is left heart failure),,
D_118,diffuse_lung_disease,Diagnosis,,all left-sided heart failure can also lead to right-sided heart failure (the most common cause of right heart failure is left heart failure),,
D_119,acute_respiratory_distress_syndrome,Diagnosis,,all left-sided heart failure can also lead to right-sided heart failure (the most common cause of right heart failure is left heart failure),,
D_120,chronic_lung_infection,Diagnosis,,all left-sided heart failure can also lead to right-sided heart failure (the most common cause of right heart failure is left heart failure),,
D_121,bronchiectasis,Diagnosis,,all left-sided heart failure can also lead to right-sided heart failure (the most common cause of right heart failure is left heart failure),,
D_123,primary_pulmonary_arterial_hypertension,Diagnosis,,all left-sided heart failure can also lead to right-sided heart failure (the most common cause of right heart failure is left heart failure),,
D_124,pulmonary_veno-occlusive_disease,Diagnosis,,all left-sided heart failure can also lead to right-sided heart failure (the most common cause of right heart failure is left heart failure),,
D_125,obstructive_arterial_disease,Diagnosis,ie. atherosclerosis,,,
D_127,aortic_aneurysm,Diagnosis,,,,
D_129,takayasu_disease,Diagnosis,,,,
D_130,normal_variant,Diagnosis,,,,
D_131,left_heart_failure,Diagnosis,,,,
D_132,cardiac_tamponade,Diagnosis,,,,
D_133,aecopd/_acute_exacerbation_of_asthma,Diagnosis,,,,
D_134,hypovolemic_shock,Diagnosis,,,,
D_137,anacrotic,Diagnosis,,,,
D_138,pulsus_parvus,Diagnosis,small amplitude,,,
D_139,pulsus_tardus,Diagnosis,delayed/slow upstroke,,,
D_141,high_output_states,Diagnosis,"ie. anemia, hypoglycemia",,,
D_142,sepsis,Diagnosis,,,,
D_143,anaphylaxis,Diagnosis,,,,
D_144,burns,Diagnosis,,,,
D_145,neurogenic_shock,Diagnosis,,,,
D_146,myocardial_ischemia_or_infarction,Diagnosis,,,,
D_147,left-sided_valvular_disease,Diagnosis,,,,
D_148,arrhythmia,Diagnosis,,,,
D_151,tension_pneumothorax,Diagnosis,,,,
D_153,hemorrhage,Diagnosis,,,,
D_154,dehydration,Diagnosis,,,,
D_155,vomiting,Diagnosis,,,,
D_156,diarrhea,Diagnosis,,,,
D_157,intestinal_fluid_redistribution,Diagnosis,,,,
D_158,vasovagal,Diagnosis,,,,
D_159,orthostatic_hypotension,Diagnosis,,,,
D_160,autonomic_neuropathy,Diagnosis,,,,
D_161,situational,Diagnosis,"micturition, coughing, defecation",,,
D_162,mi,Diagnosis,,,,
D_163,dcm,Diagnosis,,,,
D_164,mitral/aortic_stenosis,Diagnosis,,,,
D_165,hcm,Diagnosis,lvot,,,
D_166,blood_loss/hypotension,Diagnosis,,,,
D_170,vt/vfib,Diagnosis,,,,
D_171,afib/aflutter,Diagnosis,,,,
D_172,avnrt/avrt,Diagnosis,,,,
D_173,sick_sinus_syndrome,Diagnosis,sa node,,,
D_174,2nd/3rd_degree_av_block,Diagnosis,,,,
D_175,pacemaker_malfunction,Diagnosis,,,,
D_176,tachy-brady_syndrome,Diagnosis,,,,
D_178,hypoxia,Diagnosis,,,,
D_179,hypercapnia,Diagnosis,,,,
D_183,tia,Diagnosis,,,,
D_184,psychiatric,Diagnosis,,,,
D_185,intoxication,Diagnosis,,,,
D_186,migraine,Diagnosis,,,,
D_188,fever,Diagnosis,,,,
D_191,supravalvular_aortic_stenosis,Diagnosis,"rings,webs",,,
D_192,hypertrophic_obstructive_cardiomyopathy,Diagnosis,,,,
D_193,subvalvular_aortic_stenosis,Diagnosis,"rings,webs",,,
D_194,uni-/bicuspid,Diagnosis,,,,
D_195,degenerative,Diagnosis,tricuspid,,,
D_196,rheumatic_heart_disease,Diagnosis,,,,
D_198,prolapse,Diagnosis,,,,
D_199,dilated_cardiomyopathy,Diagnosis,,,,
D_200,endocarditis,Diagnosis,,,,
D_201,hypertrophic_cardiomyopathy,Diagnosis,,,,
D_202,rheumatic_fever,Diagnosis,,,,
D_203,marfans_disease,Diagnosis,,,,
D_204,rupture,Diagnosis,,,,
D_208,ischemia,Diagnosis,,,,
D_209,infarct,Diagnosis,,,,
D_217,ebsteins_anomaly,Diagnosis,,,,
D_218,carcinoid,Diagnosis,,,,
D_219,ventricular_septal_defect,Diagnosis,,,,
D_221,pulmonary_regurgitation,Diagnosis,graham-steell murmur,,,
D_223,tricuspid_stenosis,Diagnosis,,,,
D_224,severe_aortic_regurgitation,Diagnosis,austin flint murmur,,,
D_225,atrial_myxoma_prolapse,Diagnosis,,,,
D_228,myxoma,Diagnosis,,,,
D_229,normal,Diagnosis,,,,
D_230,"pulmonary_hypertension,_anemia,_carboxyhemoglobinemia",Diagnosis,,,,
D_231,"chest_wall_disorder,_neuromuscular_disorder",Diagnosis,,,,
D_232,interstitial_lung_disease,Diagnosis,,,,
D_233,"asthma,non-emphysematous_copd",Diagnosis,,,,
D_234,emphysematous_copd,Diagnosis,,,,
D_237,mixed_defect,Diagnosis,,,,
D_238,elevated_anion_gap,Diagnosis,,,,"(appropiate compensation ratio co2:hco3 (metabolic acidosis 12:10),(metabolic alkalosis 7:10),(acute respiratory acidosis 10:1), (chronic respiratory acidosis 10:3),(acute respiratory alkalosis 10:2),(chronic respiratory alkalosis 10:4))"
D_239,normal_anion_gap,Diagnosis,,,,"(appropiate compensation ratio co2:hco3 (metabolic acidosis 12:10),(metabolic alkalosis 7:10),(acute respiratory acidosis 10:1), (chronic respiratory acidosis 10:3),(acute respiratory alkalosis 10:2),(chronic respiratory alkalosis 10:4))"
D_240,chronic_respiratory_acidosis,Diagnosis,hypoventilation present for hours to days,,,"(appropiate compensation ratio co2:hco3 (metabolic acidosis 12:10),(metabolic alkalosis 7:10),(acute respiratory acidosis 10:1), (chronic respiratory acidosis 10:3),(acute respiratory alkalosis 10:2),(chronic respiratory alkalosis 10:4))"
D_241,acute_respiratory_acidosis,Diagnosis,hypoventilation present for minutes to hours,,,"(appropiate compensation ratio co2:hco3 (metabolic acidosis 12:10),(metabolic alkalosis 7:10),(acute respiratory acidosis 10:1), (chronic respiratory acidosis 10:3),(acute respiratory alkalosis 10:2),(chronic respiratory alkalosis 10:4))"
D_242,normal_ph,Diagnosis,,,,"(appropiate compensation ratio co2:hco3 (metabolic acidosis 12:10),(metabolic alkalosis 7:10),(acute respiratory acidosis 10:1), (chronic respiratory acidosis 10:3),(acute respiratory alkalosis 10:2),(chronic respiratory alkalosis 10:4))"
D_243,metabolic_alkalosis,Diagnosis,,,,"(appropiate compensation ratio co2:hco3 (metabolic acidosis 12:10),(metabolic alkalosis 7:10),(acute respiratory acidosis 10:1), (chronic respiratory acidosis 10:3),(acute respiratory alkalosis 10:2),(chronic respiratory alkalosis 10:4))"
D_244,chronic_respiratory_alkalosis,Diagnosis,hyperventilation present for hours to days,,,"(appropiate compensation ratio co2:hco3 (metabolic acidosis 12:10),(metabolic alkalosis 7:10),(acute respiratory acidosis 10:1), (chronic respiratory acidosis 10:3),(acute respiratory alkalosis 10:2),(chronic respiratory alkalosis 10:4))"
D_245,acute_respiratory_alkalosis,Diagnosis,hyperventlation present for minutes to hours,,,"(appropiate compensation ratio co2:hco3 (metabolic acidosis 12:10),(metabolic alkalosis 7:10),(acute respiratory acidosis 10:1), (chronic respiratory acidosis 10:3),(acute respiratory alkalosis 10:2),(chronic respiratory alkalosis 10:4))"
D_254,malignant_mesothelioma,Diagnosis,,,,
D_255,pneumonia,Diagnosis,,,yes,
D_257,malignancy,Diagnosis,,,,
D_259,acute_chest_syndrome,Diagnosis,,,,
D_260,gerd,Diagnosis,,,,
D_272,spinal_rediculopathy,Diagnosis,,,,
D_275,myocardial_contusion,Diagnosis,,,,
D_276,acute_aortic_rupture,Diagnosis,,,yes,
D_277,rib_fractures,Diagnosis,,,,
D_278,flail_chest,Diagnosis,,,yes,
D_279,diaphragm_injury,Diagnosis,,,,
D_280,pulmunary_contusion,Diagnosis,,,,
D_282,hemothorax,Diagnosis,,,,
D_283,post-nasal_drip/rhinosinusitis,Diagnosis,,,,
D_284,neuromuscular_swallowing_disorder,Diagnosis,,,,
D_285,thyroidtis,Diagnosis,,,,
D_286,mediastinal_mass,Diagnosis,,,,
D_287,elongated_uvula,Diagnosis,,,,
D_288,asthma,Diagnosis,,,,
D_290,post-infectious,Diagnosis,,,,
D_291,smokers_cough,Diagnosis,,,,
D_292,non-asthmatic_eosinophilic_bronchitis,Diagnosis,,,,
D_293,foreign_body,Diagnosis,,,,
D_294,ace_inhibitor,Diagnosis,,,,
D_296,copd,Diagnosis,,,,
D_298,chronic_infection,Diagnosis,"e.g. fungal, tuberculosis",,,
D_300,chf,Diagnosis,,,,
D_301,interstitial_disease,Diagnosis,,,,
D_310,aecopd,Diagnosis,,,,
D_312,aspiration,Diagnosis,,,yes,
D_314,effusion,Diagnosis,,,,
D_316,constriction,Diagnosis,,,,
D_317,systolic_dysfunction,Diagnosis,,,,
D_318,diastolic_dysfunction,Diagnosis,,,,
D_320,stenosis,Diagnosis,,,,
D_321,regurgitation,Diagnosis,,,,
D_322,sub-valvular_disease,Diagnosis,,,,
D_323,stable_angina,Diagnosis,,,,
D_324,acute_coronary_syndrome,Diagnosis,,,yes,
D_325,atrial_fibrillation,Diagnosis,,,,
D_326,bradyarrhytmia,Diagnosis,,,,
D_327,tachyarrhytmia,Diagnosis,,,,
D_332,interstitial_pulmonary_fibrosis,Diagnosis,,,,
D_333,hypersensitivity_pneumonitis,Diagnosis,,,,
D_338,chest_wall,Diagnosis,,,,
D_339,neuromuscular,Diagnosis,,,,
D_340,pleura,Diagnosis,,,,
D_342,anxiety,Diagnosis,,,,
D_343,deconditioning,Diagnosis,,,,
D_344,hypethyroidism,Diagnosis,,,,
D_345,metabolic_acidosis,Diagnosis,,,,
D_346,poor_sleep_hygiene,Diagnosis,,,,
D_347,insomnia,Diagnosis,,,,
D_348,behavioral_sleep_deprivation,Diagnosis,e.g. shift work,,,
D_349,obstructive/central_sleep_apnea,Diagnosis,,,,
D_350,restless_legs_syndrome,Diagnosis,,,,
D_351,periodic_limb_movement_disorder,Diagnosis,,,,
D_352,narcolepsy,Diagnosis,,,,
D_353,obesity_hypoventilation_syndrome,Diagnosis,,,,
D_354,neurologic_disorders,Diagnosis,"e.g. parkinson's, ms",,,
D_355,head_trauma,Diagnosis,,,,
D_356,depression,Diagnosis,,,,
D_359,drug_abuse,Diagnosis,"e.g. alcohol, opioids",,,
D_362,abscess/mycetoma,Diagnosis,,,,
D_363,arteriovenous_malformation,Diagnosis,,,,
D_364,hematemesis,Diagnosis,,,,
D_365,epistaxis,Diagnosis,,,,
D_366,bronchitis,Diagnosis,,,,
D_367,bacterial_infection,Diagnosis,,,,
D_368,viral_infection,Diagnosis,,,,
D_369,tuberculosis_infection,Diagnosis,,,,
D_370,fungal_infection,Diagnosis,,,,
D_372,lupus_erythematosus,Diagnosis,,,,
D_373,goodpastures_syndrome,Diagnosis,,,,
D_374,granulomatosis_with_polyangiitis/microscopic_polyangiitis,Diagnosis,,,,
D_379,pulmonary_vasculitis,Diagnosis,,,,
D_381,atrial_septal_defect,Diagnosis,,,,"(alveolar-arterial gradient=pao2-pao2),(pao2=fio2(pb-ph2o)-(paco2/0.8))"
D_383,severe_pneumonia,Diagnosis,,,,"(alveolar-arterial gradient=pao2-pao2),(pao2=fio2(pb-ph2o)-(paco2/0.8))"
