,Diagnosis_(DX),Chief_Sign,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,Level_10
94,mitral_stenosis,left-sided heart failure,valvular_disease_(preserved_diastolic/systolic_function),dx,,,,,,,,
95,mitral_regurgitation,left-sided heart failure,valvular_disease_(preserved_diastolic/systolic_function),dx,,,,,,,,
96,aortic_stenosis,left-sided heart failure,valvular_disease_(preserved_diastolic/systolic_function),dx,,,,,,,,
97,aortic_regurgitation,left-sided heart failure,valvular_disease_(preserved_diastolic/systolic_function),dx,,,,,,,,
98,myocardial_infarction,left-sided heart failure,myocardial,systolic_dysfunction_(reduced_ejection_fraction),impaired_contractility,coronary_artery_disease,dx,,,,,
99,transient_myocardial_ischemia,left-sided heart failure,myocardial,systolic_dysfunction_(reduced_ejection_fraction),impaired_contractility,coronary_artery_disease,dx,,,,,
100,mitral_regurgitation,left-sided heart failure,myocardial,systolic_dysfunction_(reduced_ejection_fraction),impaired_contractility,chronic_volume_overload,dx,,,,,
101,aortic_regurgitation,left-sided heart failure,myocardial,systolic_dysfunction_(reduced_ejection_fraction),impaired_contractility,chronic_volume_overload,dx,,,,,
102,infiltrative,left-sided heart failure,myocardial,systolic_dysfunction_(reduced_ejection_fraction),impaired_contractility,dilated_cardiomyopathies,dx,,,,,
103,infictious,left-sided heart failure,myocardial,systolic_dysfunction_(reduced_ejection_fraction),impaired_contractility,dilated_cardiomyopathies,dx,,,,,
104,toxic,left-sided heart failure,myocardial,systolic_dysfunction_(reduced_ejection_fraction),impaired_contractility,dilated_cardiomyopathies,dx,,,,,
105,genetic,left-sided heart failure,myocardial,systolic_dysfunction_(reduced_ejection_fraction),impaired_contractility,dilated_cardiomyopathies,dx,,,,,
106,transient_myocardial_ischemia,left-sided heart failure,myocardial,diastolic_dysfunction_(preserved_ejection_fraction),impaired_diastolic_filling,dx,,,,,,
107,left_ventricular_hypertrophy,left-sided heart failure,myocardial,diastolic_dysfunction_(preserved_ejection_fraction),impaired_diastolic_filling,dx,,,,,,
108,restrictive_cardiomyopathy,left-sided heart failure,myocardial,diastolic_dysfunction_(preserved_ejection_fraction),impaired_diastolic_filling,dx,,,,,,
109,pericardial_constriction,left-sided heart failure,myocardial,diastolic_dysfunction_(preserved_ejection_fraction),impaired_diastolic_filling,dx,,,,,,
110,right_ventricle_infarction,isolated right-sided heart failure,cardiac,myocardium,dx,,,,,,,
111,restrictive_cardiomyopathy,isolated right-sided heart failure,cardiac,myocardium,dx,,,,,,,
112,pulmonary_stenosis,isolated right-sided heart failure,cardiac,valves,dx,,,,,,,
113,tricuspid_regurgitation,isolated right-sided heart failure,cardiac,valves,dx,,,,,,,
114,constrictive_pericarditis,isolated right-sided heart failure,cardiac,pericardium,dx,,,,,,,
115,pericardial_tamponade,isolated right-sided heart failure,cardiac,pericardium,dx,,,,,,,
116,chronic_obstructive_pulmonary_disease,isolated right-sided heart failure,pulmonary,parenchymal,dx,,,,,,,
117,diffuse_lung_disease,isolated right-sided heart failure,pulmonary,parenchymal,dx,,,,,,,
118,acute_respiratory_distress_syndrome,isolated right-sided heart failure,pulmonary,parenchymal,dx,,,,,,,
119,chronic_lung_infection,isolated right-sided heart failure,pulmonary,parenchymal,dx,,,,,,,
120,bronchiectasis,isolated right-sided heart failure,pulmonary,parenchymal,dx,,,,,,,
121,pulmonary_embolism,isolated right-sided heart failure,pulmonary,vascular,dx,,,,,,,
122,primary_pulmonary_arterial_hypertension,isolated right-sided heart failure,pulmonary,vascular,dx,,,,,,,
123,pulmonary_veno-occlusive_disease,isolated right-sided heart failure,pulmonary,vascular,dx,,,,,,,
124,obstructive_arterial_disease,pulse abnormalities,unequal/delayed,dx,,,,,,,,
125,aortic_dissection,pulse abnormalities,unequal/delayed,dx,,,,,,,,
126,aortic_aneurysm,pulse abnormalities,unequal/delayed,dx,,,,,,,,
127,aortic_coarctation,pulse abnormalities,unequal/delayed,dx,,,,,,,,
128,takayasu_disease,pulse abnormalities,unequal/delayed,dx,,,,,,,,
129,normal_variant,pulse abnormalities,unequal/delayed,dx,,,,,,,,
130,left_heart_failure,pulse abnormalities,pulsus_alternans,dx,,,,,,,,
131,cardiac_tamponade,pulse abnormalities,pulsus_paradoxus,dx,,,,,,,,
132,aecopd/_acute_exacerbation_of_asthma,pulse abnormalities,pulsus_paradoxus,dx,,,,,,,,
133,hypovolemic_shock,pulse abnormalities,pulsus_paradoxus,dx,,,,,,,,
134,constrictive_pericarditis,pulse abnormalities,pulsus_paradoxus,dx,,,,,,,,
135,restrictive_cardiomyopathy,pulse abnormalities,pulsus_paradoxus,dx,,,,,,,,
136,anacrotic,pulse abnormalities,aortic_stenosis,dx,,,,,,,,
137,pulsus_parvus,pulse abnormalities,aortic_stenosis,dx,,,,,,,,
138,pulsus_tardus,pulse abnormalities,aortic_stenosis,dx,,,,,,,,
139,aortic_regurgitation,pulse abnormalities,water_hammer_pulse,dx,,,,,,,,
140,high_output_states,pulse abnormalities,water_hammer_pulse,dx,,,,,,,,
141,sepsis,shock,warm_extremities,distributive_shock,dx,,,,,,,
142,anaphylaxis,shock,warm_extremities,distributive_shock,dx,,,,,,,
143,burns,shock,warm_extremities,distributive_shock,dx,,,,,,,
144,neurogenic_shock,shock,warm_extremities,distributive_shock,dx,,,,,,,
145,myocardial_ischemia_or_infarction,shock,cold_extremities,high_jvp,cardiogenic_shock,dx,,,,,,
146,left-sided_valvular_disease,shock,cold_extremities,high_jvp,cardiogenic_shock,dx,,,,,,
147,arrhythmia,shock,cold_extremities,high_jvp,cardiogenic_shock,dx,,,,,,
148,cardiomyopathy,shock,cold_extremities,high_jvp,cardiogenic_shock,dx,,,,,,
149,pulmonary_embolism,shock,cold_extremities,high_jvp,obstructive_shock,dx,,,,,,
150,tension_pneumothorax,shock,cold_extremities,high_jvp,obstructive_shock,dx,,,,,,
151,cardiac_tamponade,shock,cold_extremities,high_jvp,obstructive_shock,dx,,,,,,
152,hemorrhage,shock,cold_extremities,low_jvp,hypovolemic_shock,dx,,,,,,
153,dehydration,shock,cold_extremities,low_jvp,hypovolemic_shock,dx,,,,,,
154,vomiting,shock,cold_extremities,low_jvp,hypovolemic_shock,dx,,,,,,
155,diarrhea,shock,cold_extremities,low_jvp,hypovolemic_shock,dx,,,,,,
156,intestinal_fluid_redistribution,shock,cold_extremities,low_jvp,hypovolemic_shock,dx,,,,,,
157,vasovagal,syncope,neurocardiogenic,dx,,,,,,,,
158,orthostatic_hypotension,syncope,neurocardiogenic,dx,,,,,,,,
159,autonomic_neuropathy,syncope,neurocardiogenic,dx,,,,,,,,
160,situational,syncope,neurocardiogenic,dx,,,,,,,,
161,mi,syncope,cardiac,stroke_volume,contractility,dx,,,,,,
162,dcm,syncope,cardiac,stroke_volume,contractility,dx,,,,,,
163,mitral/aortic_stenosis,syncope,cardiac,stroke_volume,afterload,dx,,,,,,
164,hcm,syncope,cardiac,stroke_volume,afterload,dx,,,,,,
165,blood_loss/hypotension,syncope,cardiac,stroke_volume,preload,dx,,,,,,
166,mitral_stenosis,syncope,cardiac,stroke_volume,preload,dx,,,,,,
167,cardiac_tamponade,syncope,cardiac,stroke_volume,preload,dx,,,,,,
168,constrictive_pericarditis,syncope,cardiac,stroke_volume,preload,dx,,,,,,
169,vt/vfib,syncope,cardiac,heart_rate/rhythm,tachyarrhythmia,dx,,,,,,
170,afib/aflutter,syncope,cardiac,heart_rate/rhythm,tachyarrhythmia,dx,,,,,,
171,avnrt/avrt,syncope,cardiac,heart_rate/rhythm,tachyarrhythmia,dx,,,,,,
172,sick_sinus_syndrome,syncope,cardiac,heart_rate/rhythm,bradyarrhythmia,dx,,,,,,
173,2nd/3rd_degree_av_block,syncope,cardiac,heart_rate/rhythm,bradyarrhythmia,dx,,,,,,
174,pacemaker_malfunction,syncope,cardiac,heart_rate/rhythm,bradyarrhythmia,dx,,,,,,
175,tachy-brady_syndrome,syncope,cardiac,heart_rate/rhythm,bradyarrhythmia,dx,,,,,,
176,pulmonary_embolism,syncope,respiratory,dx,,,,,,,,
177,hypoxia,syncope,respiratory,dx,,,,,,,,
178,hypercapnia,syncope,respiratory,dx,,,,,,,,
179,hypoglycemia,syncope,other,dx,,,,,,,,
180,anemia,syncope,other,dx,,,,,,,,
181,medications,syncope,other,dx,,,,,,,,
182,tia,syncope,other,dx,,,,,,,,
183,psychiatric,syncope,other,dx,,,,,,,,
184,intoxication,syncope,other,dx,,,,,,,,
185,migraine,syncope,other,dx,,,,,,,,
186,pregnancy,systolic murmur,benign/flow/hyperdynamic,dx,,,,,,,,
187,fever,systolic murmur,benign/flow/hyperdynamic,dx,,,,,,,,
188,anemia,systolic murmur,benign/flow/hyperdynamic,dx,,,,,,,,
189,aortic_coarctation,systolic murmur,stenosis,supravalvular,dx,,,,,,,
190,supravalvular_aortic_stenosis,systolic murmur,stenosis,supravalvular,dx,,,,,,,
191,hypertrophic_obstructive_cardiomyopathy,systolic murmur,stenosis,subvalvular,dx,,,,,,,
192,subvalvular_aortic_stenosis,systolic murmur,stenosis,subvalvular,dx,,,,,,,
193,uni-/bicuspid,systolic murmur,stenosis,valvular,aortic_stenosis,dx,,,,,,
194,degenerative,systolic murmur,stenosis,valvular,aortic_stenosis,dx,,,,,,
195,rheumatic_heart_disease,systolic murmur,stenosis,valvular,aortic_stenosis,dx,,,,,,
196,pulmonary_stenosis,systolic murmur,stenosis,valvular,pulmonary_stenosis,dx,,,,,,
197,prolapse,systolic murmur,incompetent_valve,mitral_regurgitation,leaflet/annulus,dx,,,,,,
198,dilated_cardiomyopathy,systolic murmur,incompetent_valve,mitral_regurgitation,leaflet/annulus,dx,,,,,,
199,endocarditis,systolic murmur,incompetent_valve,mitral_regurgitation,leaflet/annulus,dx,,,,,,
200,hypertrophic_cardiomyopathy,systolic murmur,incompetent_valve,mitral_regurgitation,leaflet/annulus,dx,,,,,,
201,rheumatic_fever,systolic murmur,incompetent_valve,mitral_regurgitation,leaflet/annulus,dx,,,,,,
202,marfan's_disease,systolic murmur,incompetent_valve,mitral_regurgitation,leaflet/annulus,dx,,,,,,
203,rupture,systolic murmur,incompetent_valve,mitral_regurgitation,chordae_tendinae,dx,,,,,,
204,endocarditis,systolic murmur,incompetent_valve,mitral_regurgitation,chordae_tendinae,dx,,,,,,
205,rheumatic_fever,systolic murmur,incompetent_valve,mitral_regurgitation,chordae_tendinae,dx,,,,,,
206,trauma,systolic murmur,incompetent_valve,mitral_regurgitation,chordae_tendinae,dx,,,,,,
207,ischemia,systolic murmur,incompetent_valve,mitral_regurgitation,papillary_muscle_dysfunction,dx,,,,,,
208,infarct,systolic murmur,incompetent_valve,mitral_regurgitation,papillary_muscle_dysfunction,dx,,,,,,
209,rupture,systolic murmur,incompetent_valve,mitral_regurgitation,papillary_muscle_dysfunction,dx,,,,,,
210,dilated_cardiomyopathy,systolic murmur,incompetent_valve,tricuspid_regurgitation,dilation_of_right_ventricle/annulus,dx,,,,,,
211,mi,systolic murmur,incompetent_valve,tricuspid_regurgitation,dilation_of_right_ventricle/annulus,dx,,,,,,
212,pulmonary_hypertension,systolic murmur,incompetent_valve,tricuspid_regurgitation,dilation_of_right_ventricle/annulus,dx,,,,,,
213,prolapse,systolic murmur,incompetent_valve,tricuspid_regurgitation,leaflet,dx,,,,,,
214,endocarditis,systolic murmur,incompetent_valve,tricuspid_regurgitation,leaflet,dx,,,,,,
215,rheumatic_fever,systolic murmur,incompetent_valve,tricuspid_regurgitation,leaflet,dx,,,,,,
216,ebstein's_anomaly,systolic murmur,incompetent_valve,tricuspid_regurgitation,leaflet,dx,,,,,,
217,carcinoid,systolic murmur,incompetent_valve,tricuspid_regurgitation,leaflet,dx,,,,,,
218,ventricular_septal_defect,systolic murmur,other,dx,,,,,,,,
219,aortic_regurgitation,diastolic murmur,early_diastolic,dx,,,,,,,,
220,pulmonary_regurgitation,diastolic murmur,early_diastolic,dx,,,,,,,,
221,mitral_stenosis,diastolic murmur,mid-diastolic,dx,,,,,,,,
222,tricuspid_stenosis,diastolic murmur,mid-diastolic,dx,,,,,,,,
223,severe_aortic_regurgitation,diastolic murmur,mid-diastolic,dx,,,,,,,,
224,atrial_myxoma_prolapse,diastolic murmur,mid-diastolic,dx,,,,,,,,
225,mitral_stenosis,diastolic murmur,late_diastolic,dx,,,,,,,,
226,tricuspid_stenosis,diastolic murmur,late_diastolic,dx,,,,,,,,
227,myxoma,diastolic murmur,late_diastolic,dx,,,,,,,,
228,normal,pulmonary function tests,fev1/fvc>=lln,fvc>=lln,"dl,co>=lln",dx,,,,,,
229,"pulmonary_hypertension,_anemia,_carboxyhemoglobinemia",pulmonary function tests,fev1/fvc>=lln,fvc>=lln,"dl,co<lln",dx,,,,,,
230,"chest_wall_disorder,_neuromuscular_disorder",pulmonary function tests,fev1/fvc>=lln,fvc>=lln,tlc<=lln,restriction,"dl,co>=lln",,,,,
231,interstitial_lung_disease,pulmonary function tests,fev1/fvc>=lln,fvc>=lln,tlc<=lln,restriction,"dl,co<lln",,,,,
232,"asthma,non-emphysematous_copd",pulmonary function tests,fev1/fvc<lln,fvc>=lln,obstruction,"dl,co>=lln",dx,,,,,
233,emphysematous_copd,pulmonary function tests,fev1/fvc<lln,fvc>=lln,obstruction,"dl,co<lln",dx,,,,,
234,"asthma,non-emphysematous_copd",pulmonary function tests,fev1/fvc<lln,fvc<lln,tlc>=lln,obstruction,"dl,co>=lln",dx,,,,
235,emphysematous_copd,pulmonary function tests,fev1/fvc<lln,fvc<lln,tlc>=lln,obstruction,"dl,co<lln",dx,,,,
236,mixed_defect,pulmonary function tests,fev1/fvc<lln,fvc<lln,tlc<lln,dx,,,,,,
237,elevated_anion_gap,acid-base disorder,ph<7.35,metabolic_acidosis,dx,,,,,,,
238,normal_anion_gap,acid-base disorder,ph<7.35,metabolic_acidosis,dx,,,,,,,
239,chronic_respiratory_acidosis,acid-base disorder,ph<7.35,respiratory_acidosis,dx,,,,,,,
240,acute_respiratory_acidosis,acid-base disorder,ph<7.35,respiratory_acidosis,dx,,,,,,,
241,normal_ph,acid-base disorder,ph=_7.35-7.45,dx,,,,,,,,
242,metabolic_alkalosis,acid-base disorder,ph>7.45,dx,,,,,,,,
243,chronic_respiratory_alkalosis,acid-base disorder,ph>7.45,respiratory_alkalosis,dx,,,,,,,
244,acute_respiratory_alkalosis,acid-base disorder,ph>7.45,respiratory_alkalosis,dx,,,,,,,
245,myocardial_infarction,chest discomfort,cardiovascular,ischemic,dx,,,,,,,
246,stable/unstable_angina,chest discomfort,cardiovascular,ischemic,dx,,,,,,,
247,pericarditis,chest discomfort,cardiovascular,non-ischemic,dx,,,,,,,
248,myocarditis,chest discomfort,cardiovascular,non-ischemic,dx,,,,,,,
249,aortic_dissection,chest discomfort,cardiovascular,non-ischemic,dx,,,,,,,
250,pneumothorax,chest discomfort,pulmonary,pleural_processes,dx,,,,,,,
251,pleuritis/serositis,chest discomfort,pulmonary,pleural_processes,dx,,,,,,,
252,pleural_effusion,chest discomfort,pulmonary,pleural_processes,dx,,,,,,,
253,malignant_mesothelioma,chest discomfort,pulmonary,pleural_processes,dx,,,,,,,
254,pneumonia,chest discomfort,pulmonary,processes_that_can_affect_the_pleura,dx,,,,,,,
255,pulmonary_embolism,chest discomfort,pulmonary,processes_that_can_affect_the_pleura,dx,,,,,,,
256,malignancy,chest discomfort,pulmonary,processes_that_can_affect_the_pleura,dx,,,,,,,
257,sarcoidosis,chest discomfort,pulmonary,processes_that_can_affect_the_pleura,dx,,,,,,,
258,acute_chest_syndrome,chest discomfort,pulmonary,processes_that_can_affect_the_pleura,dx,,,,,,,
259,gerd,chest discomfort,other,gastrointestinal,dx,dx,,,,,,
260,biliary_disease,chest discomfort,other,gastrointestinal,dx,dx,,,,,,
261,peptic_ulcer_disease,chest discomfort,other,gastrointestinal,dx,dx,,,,,,
262,pancreatitis,chest discomfort,other,gastrointestinal,dx,dx,,,,,,
263,esophageal_spasm,chest discomfort,other,gastrointestinal,dx,dx,,,,,,
264,esophageal_perforation,chest discomfort,other,gastrointestinal,dx,dx,,,,,,
265,costochondritis,chest discomfort,other,musculoskeletal,dx,,,,,,,
266,muscular_injury,chest discomfort,other,musculoskeletal,dx,,,,,,,
267,trauma,chest discomfort,other,musculoskeletal,dx,,,,,,,
268,anxiety/panic,chest discomfort,other,neurologic/psychiatric,dx,,,,,,,
269,herpes_simplex_virus/post-herpetic_neuralgia,chest discomfort,other,neurologic/psychiatric,dx,,,,,,,
270,somatoform_disorder,chest discomfort,other,neurologic/psychiatric,dx,,,,,,,
271,spinal_rediculopathy,chest discomfort,other,neurologic/psychiatric,dx,,,,,,,
272,cardiac_tamponade,chest trauma,cardiac,dx,,,,,,,,
273,pericarditis,chest trauma,cardiac,dx,,,,,,,,
274,myocardial_contusion,chest trauma,cardiac,dx,,,,,,,,
275,acute_aortic_rupture,chest trauma,cardiac,dx,,,,,,,,
276,rib_fractures,chest trauma,chest_wall,dx,,,,,,,,
277,flail_chest,chest trauma,chest_wall,dx,,,,,,,,
278,diaphragm_injury,chest trauma,chest_wall,dx,,,,,,,,
279,pulmunary_contusion,chest trauma,lung,dx,,,,,,,,
280,pneumothorax,chest trauma,lung,dx,,,,,,,,
281,hemothorax,chest trauma,lung,dx,,,,,,,,
282,post-nasal_drip/rhinosinusitis,cough,chronic_cough_(>3_wks),normal_chest_x-ray,normal_spirometry,upper_airway,dx,,,,,
283,neuromuscular_swallowing_disorder,cough,chronic_cough_(>3_wks),normal_chest_x-ray,normal_spirometry,upper_airway,dx,,,,,
284,thyroidtis,cough,chronic_cough_(>3_wks),normal_chest_x-ray,normal_spirometry,upper_airway,dx,,,,,
285,mediastinal_mass,cough,chronic_cough_(>3_wks),normal_chest_x-ray,normal_spirometry,upper_airway,dx,,,,,
286,elongated_uvula,cough,chronic_cough_(>3_wks),normal_chest_x-ray,normal_spirometry,upper_airway,dx,,,,,
287,asthma,cough,chronic_cough_(>3_wks),normal_chest_x-ray,normal_spirometry,lower_airway,dx,,,,,
288,gerd,cough,chronic_cough_(>3_wks),normal_chest_x-ray,normal_spirometry,lower_airway,dx,,,,,
