UID,Diagnosis_(DX),Diagnosis_(DX)_Notes,Page,Type,Chief_Sign,Cheif_Sign_Notes,Clinical_Pearl,General_Notes,Life_Threatening,Definitions,Level_1,Level_1_Notes,Level_2,Level_2_Notes,Level_3,Level_3_Notes,Level_4,Level_4_Notes,Level_5,Level_5_Notes,Level_6,Level_6_Notes,Level_7,Level_7_Notes,Level_8,Level_8_Notes,Level_9,Level_9_Notes,Level_10
nan,aflutter,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,tachyarrhythmia_(>100_bpm),nan,narrow_qrs_(<120_msec)_svt,nan,regular_rhythm_svt_(constant_r-r_interval),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,avnrt,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,tachyarrhythmia_(>100_bpm),nan,narrow_qrs_(<120_msec)_svt,nan,regular_rhythm_svt_(constant_r-r_interval),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,avrt_(ie._wpw),nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,tachyarrhythmia_(>100_bpm),nan,narrow_qrs_(<120_msec)_svt,nan,regular_rhythm_svt_(constant_r-r_interval),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,afib,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,tachyarrhythmia_(>100_bpm),nan,narrow_qrs_(<120_msec)_svt,nan,irregular_rhythm_svt_(variable_r-r_interval),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,aflutter_with_variable_av_conduction,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,tachyarrhythmia_(>100_bpm),nan,narrow_qrs_(<120_msec)_svt,nan,irregular_rhythm_svt_(variable_r-r_interval),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,multifocal_atrial_tachycardia,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,tachyarrhythmia_(>100_bpm),nan,narrow_qrs_(<120_msec)_svt,nan,irregular_rhythm_svt_(variable_r-r_interval),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,monomorphic_vt,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,tachyarrhythmia_(>100_bpm),nan,wide_qrs_(>120msec)_vt_or_svt_with_aberrancy,nan,regular_rhythm_(constant_r-r_interval),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,regular_rythm_svt_with_conduction_aberrancy,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,tachyarrhythmia_(>100_bpm),nan,wide_qrs_(>120msec)_vt_or_svt_with_aberrancy,nan,regular_rhythm_(constant_r-r_interval),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,polymorphic_vt_(including_tosades_de_pointes_if_in_a_setting_of_long_qt),nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,tachyarrhythmia_(>100_bpm),nan,wide_qrs_(>120msec)_vt_or_svt_with_aberrancy,nan,irregular_rhythm_svt_(variable_r-r_interval),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,irregular_rhythm_svt_with_conduction_aberrancy,nan,3,cardiovascular,types of arrhythmia,nan,nan,nan,nan,nan,tachyarrhythmia_(>100_bpm),nan,wide_qrs_(>120msec)_vt_or_svt_with_aberrancy,nan,irregular_rhythm_svt_(variable_r-r_interval),nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,valve_disease,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,cardiac,nan,structural,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,cardiomyopathy,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,cardiac,nan,structural,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,ectopic_foci,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,cardiac,nan,electrical_conduction_abnormalities,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,accesory_pathway,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,cardiac,nan,electrical_conduction_abnormalities,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,scar_tissue_(previous_mi),nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,cardiac,nan,electrical_conduction_abnormalities,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,anemia,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,non-cardiac,nan,high_output_state,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,fever/infection,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,non-cardiac,nan,high_output_state,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pregnancy,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,non-cardiac,nan,high_output_state,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,hypoglycemia,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,non-cardiac,nan,metabolic,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,thyrotoxicosis,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,non-cardiac,nan,metabolic,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pheochromocytoma,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,non-cardiac,nan,metabolic,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,alcohol,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,non-cardiac,nan,drugs,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,caffeine,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,non-cardiac,nan,drugs,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,sympathomimetics,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,non-cardiac,nan,drugs,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,anticholinergics,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,non-cardiac,nan,drugs,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,cocaine,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,non-cardiac,nan,drugs,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,panic_attack,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,non-cardiac,nan,psychiatric,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,generalized_anxiety_disorder,nan,4,cardiovascular,causes of arrhythmia,"may present as: palpitations, dizziness, syncope, chest discomfort",nan,nan,nan,nan,non-cardiac,nan,psychiatric,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,aortic_stenosis,nan,5,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,cardiovascular,nan,outflow_obstruction,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,myocardial_infarction,nan,5,cardiovascular,chest discomfort,nan,nan,nan,yes,nan,cardiovascular,nan,ischemic,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,stable/unstable_angina,nan,5,cardiovascular,chest discomfort,nan,nan,nan,yes,nan,cardiovascular,nan,ischemic,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,aortic_dissection,nan,5,cardiovascular,chest discomfort,nan,nan,nan,yes,nan,cardiovascular,nan,non-ischemic,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,dilating_aneurysm,nan,5,cardiovascular,chest discomfort,nan,nan,nan,yes,nan,cardiovascular,nan,non-ischemic,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pericarditis,nan,5,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,cardiovascular,nan,non-ischemic,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,myocarditis,nan,5,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,cardiovascular,nan,non-ischemic,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pulmonary_embolism,chest pain often not present,6,cardiovascular,chest discomfort,nan,nan,nan,yes,nan,pulmonary/mediastinal,nan,vascular,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pulmonary_hypertension,nan,6,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,pulmonary/mediastinal,nan,vascular,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pneumothorax,nan,6,cardiovascular,chest discomfort,nan,nan,nan,yes,nan,pulmonary/mediastinal,nan,chest_wall/pleura,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pleural_effusion,nan,6,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,pulmonary/mediastinal,nan,chest_wall/pleura,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pleuritis/serositis,nan,6,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,pulmonary/mediastinal,nan,chest_wall/pleura,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pneumonia_with_pleurisy,nan,6,cardiovascular,chest discomfort,nan,nan,nan,yes,nan,pulmonary/mediastinal,nan,parenchymal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,tuberculosis,nan,6,cardiovascular,chest discomfort,nan,nan,nan,yes,nan,pulmonary/mediastinal,nan,parenchymal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,neoplasm,nan,6,cardiovascular,chest discomfort,nan,nan,nan,yes,nan,pulmonary/mediastinal,nan,parenchymal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,sarcoidosis,nan,6,cardiovascular,chest discomfort,nan,nan,nan,yes,nan,pulmonary/mediastinal,nan,parenchymal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,gastro-esophageal_reflux_disease,nan,7,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,other,nan,gastrointestinal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,biliary_disease,nan,7,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,other,nan,gastrointestinal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,peptic_ulcer_disease,nan,7,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,other,nan,gastrointestinal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,pancreatitis,nan,7,cardiovascular,chest discomfort,nan,nan,nan,yes,nan,other,nan,gastrointestinal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,esophageal_spasm,nan,7,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,other,nan,gastrointestinal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,esophageal_perforation,nan,7,cardiovascular,chest discomfort,nan,nan,nan,yes,nan,other,nan,gastrointestinal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,costochondritis,nan,7,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,other,nan,musculoskeletal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,muscular_injury,nan,7,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,other,nan,musculoskeletal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,trauma,nan,7,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,other,nan,musculoskeletal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,anxiety/panic,nan,7,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,other,nan,neurologic/psychiatric,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,herpes_simplex_virus/post-herpetic_neuralgia,nan,7,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,other,nan,neurologic/psychiatric,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,somatoform_disorder,nan,7,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,other,nan,neurologic/psychiatric,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,spinal_radiculopathy,nan,7,cardiovascular,chest discomfort,nan,nan,nan,nan,nan,other,nan,neurologic/psychiatric,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,long-standing_hypertension,nan,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",primary_(essential)_(95%)_,"onset between age 20 and 50, positive family history, no features of secondary hypertension",dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,uncontrolled_hypertension,nan,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",primary_(essential)_(95%)_,"onset between age 20 and 50, positive family history, no features of secondary hypertension",dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,drug_withdrawal,nan,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",primary_(essential)_(95%)_,"onset between age 20 and 50, positive family history, no features of secondary hypertension",dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,corticosteroids,nan,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",secondary_(5%),"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension",exogenous_,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,oral_contraceptive_pills,nan,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",secondary_(5%),"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension",exogenous_,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,cocaine,nan,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",secondary_(5%),"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension",exogenous_,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,black_licorice,nan,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",secondary_(5%),"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension",exogenous_,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,medications,nan,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",secondary_(5%),"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension",exogenous_,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,renal_parenchymal_disease,ckd; aki; glomerulonephritis,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",secondary_(5%),"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension",renal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,renovascular_disease,unilateral and bilateral renal artery stenosis,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",secondary_(5%),"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension",renal,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,aortic_coarctation,nan,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",secondary_(5%),"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension",mechanical,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,obstructive_sleep_apnea,nan,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",secondary_(5%),"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension",mechanical,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,glucocorticoid_excess,cushing syndrome or desease,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",secondary_(5%),"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension",endocrine,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,catecholamine_excess,pheochromocytoma,8,cardiovascular,hypertension,nan,nan,nan,nan,"(definition of hypertension: systolic bp>= 140mmhg or diastolic bp>=90mmhg, diabetes mellitus >=130/80mmhg, note: in children, the definition of hypertension is different (either systolic or diastolic bp>95%ile) but the approach is the same.) , (hypertensive urgency: bp usually > 180/110mmhg or asymptomatic diastolic bp > 130mmhg with target organ damage usually present but not acutely changing),(hypertensive emergency: bp usually >220/140 mmhg with evolving target organ damage)",secondary_(5%),"onset age <20 or >50 years, no family history, hypertensive urgency, resistant hypertension",endocrine,nan,dx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
